refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
27812,Bedrock,6,,47
346785,Bedrock,5,,30
56087,Bedrock,5,,45
309610,Bedrock,5,,48
143672,Bedrock,5,,227
149267,Bedrock,5,,85
356809,Bedrock,4,,34
152460,Bedrock,7,,27
238153,Bedrock,7,,49
152292,Bedrock,5,,15
327341,Bedrock,5,,63
266587,Bedrock,3,,20
350697,Bedrock,5,,100
148316,Bedrock,80,,80
278632,Bedrock,3,,142
338967,Bedrock,7,,16
71305,Bedrock,5,,7
371601,Bedrock,1,,189
150211,Bedrock,4,,136
331909,Bedrock,5,,26
336106,Bedrock,4,,180
309615,Bedrock,7,,30
336110,Bedrock,1,,41
336109,Bedrock,6,,35
147050,Bedrock,6,,43
144343,Bedrock,6,,8
360198,Bedrock,3,,37
29052,Bedrock,5,,6
29028,Bedrock,5,,35
147912,Bedrock,3,,106
147068,Bedrock,12,,12
302250,Bedrock,3,,55
305766,Bedrock,5,,115
376677,Bedrock,2,,48
143104,Bedrock,5,,120
71307,Bedrock,7,,219
54517,Bedrock,2,,41
30992,Bedrock,7,,47
144768,Bedrock,3,,45
131595,Bedrock,9,,68
147265,Bedrock,7,,127
297320,Bedrock,2,,40
297316,Bedrock,5,,144
72785,Bedrock,7,,16
143911,Bedrock,16,,31
143896,Bedrock,16,,31
144349,Bedrock,5,,12
280983,Bedrock,5,,11
319496,Bedrock,7,,29
309639,Bedrock,4,,102
18517,Bedrock,5,,98
297277,Bedrock,6,,122
143940,Bedrock,3,,9
144736,Bedrock,6,,97
144726,Bedrock,6,,106
28978,Bedrock,5,,19
373393,Bedrock,2,,32
337253,Bedrock,2,,149
140369,Bedrock,3,,67
140051,Bedrock,3,,48
18419,Bedrock,3,,70
137347,Bedrock,7,,52
23325,Bedrock,18,,23
349048,Bedrock,3,,103
14873,Bedrock,81,,100
22702,Bedrock,3,,46
297288,Bedrock,2,,40
324867,Bedrock,7,,132
137925,Bedrock,5,,30
134336,Bedrock,2,,77
140090,Bedrock,4,,243
140199,Bedrock,5,,273
170498,Bedrock,2,,49
141057,Bedrock,6,,112
138538,Bedrock,5,,35
22723,Bedrock,5,,162
319610,Bedrock,6,,29
297262,Bedrock,4,,103
340111,Bedrock,5,,59
373239,Bedrock,2,,39
142028,Bedrock,6,,67
280965,Bedrock,5,,70
133724,Bedrock,18,,40
303264,Bedrock,4,,69
360803,Bedrock,2,,25
336063,Bedrock,5,,70
242635,Bedrock,7,,50
243051,Bedrock,2,,86
140579,Bedrock,46,,46
347846,Bedrock,2,,37
133382,Bedrock,7,,45
371605,Bedrock,3,,17
360613,Bedrock,3,,11
140654,Bedrock,6,,45
140603,Bedrock,17,,31
375576,Bedrock,7,,42
337252,Bedrock,3,,35
355916,Bedrock,6,,42
48772,Bedrock,5,,80
337249,Bedrock,7,,35
270432,Bedrock,28,,38
351743,Bedrock,24,,12
136615,Bedrock,2,,59
140102,Bedrock,1,,244
336123,Bedrock,5,,25
297328,Bedrock,3,,38
349450,Bedrock,5,,64
336128,Bedrock,6,,20
48778,Bedrock,6,,25
339952,Bedrock,4,,100
140116,Bedrock,6,,239
318552,Bedrock,5,,43
139546,Bedrock,2,,275
250931,Bedrock,7,,49
214623,Bedrock,3,,165
138173,Bedrock,4,,160
131328,Bedrock,3,,96
137054,Bedrock,4,,86
135650,Bedrock,6,,50
321222,Bedrock,7,,114
137034,Bedrock,1,,115
137098,Bedrock,5,,173
137660,Bedrock,3,,172
132168,Bedrock,3,,42
321231,Bedrock,7,,136
33253,Bedrock,5,,52
137062,Bedrock,7,,70
353322,Bedrock,5,,85
323798,Bedrock,7,,40
131332,Bedrock,3,,103
135738,Bedrock,3,,26
131372,Bedrock,5,,58
54806,Bedrock,3,,33
136750,Bedrock,4,,154
34365,Bedrock,6,,10
34367,Bedrock,6,,10
131426,Bedrock,5,,31
137150,Bedrock,5,,222
319633,Bedrock,3,,46
337256,Bedrock,3,,95
242595,Bedrock,3,,194
137639,Bedrock,2,,124
136740,Bedrock,4,,136
327507,Bedrock,4,,78
135656,Bedrock,2,,7
135661,Bedrock,6,,7
304365,Bedrock,1,,121
344094,Bedrock,4,,39
133997,Bedrock,4,,18
136969,Bedrock,3,,144
136921,Bedrock,2,,122
304399,Bedrock,6,,79
133904,Bedrock,6,,53
321210,Bedrock,2,,107
137021,Bedrock,2,,112
137676,Bedrock,2,,79
341431,Bedrock,7,,62
133987,Bedrock,2,,17
341435,Bedrock,2,,110
250891,Bedrock,7,,35
136871,Bedrock,4,,120
269601,Bedrock,10,,60
33641,Bedrock,10,,60
137030,Bedrock,3,,78
134066,Bedrock,4,,38
273626,Bedrock,2,,89
352013,Bedrock,1,,67
245379,Bedrock,1,,109
248080,Bedrock,2,,78
137128,Bedrock,7,,174
137656,Bedrock,6,,84
132410,Bedrock,2,,83
135734,Bedrock,6,,171
332118,Bedrock,4,,2
135568,Bedrock,6,,14
135573,Bedrock,5,,12
136883,Bedrock,2,,140
350370,Bedrock,3,,75
317312,Bedrock,2,,102
245364,Bedrock,6,,141
130466,Bedrock,6,,131
129246,Bedrock,4,,60
261597,Bedrock,3,,103
258661,Bedrock,3,,79
133036,Bedrock,7,,153
132366,Bedrock,2,,76
129172,Bedrock,7,,70
130325,Bedrock,4,,42
130452,Bedrock,5,,77
130398,Bedrock,3,,86
129162,Bedrock,3,,44
321212,Bedrock,7,,60
259275,Bedrock,3,,46
72150,Bedrock,2,,75
72149,Bedrock,6,,75
129139,Bedrock,2,,70
259295,Bedrock,4,,46
259250,Bedrock,5,,50
376060,Bedrock,2,,37
303749,Bedrock,7,,30
129176,Bedrock,4,,42
129371,Bedrock,23,,23
372990,Bedrock,2,,73
132890,Bedrock,6,,134
130312,Bedrock,4,,80
352016,Bedrock,3,,79
353593,Bedrock,18,,79
128766,Bedrock,2,,30
245324,Bedrock,6,,35
128585,Bedrock,2,,39
128627,Bedrock,2,,130
127098,Bedrock,2,,60
130991,Bedrock,4,,118
130986,Bedrock,4,,102
129901,Bedrock,5,,101
132382,Bedrock,4,,71
403400,Bedrock,2,,18
33813,Bedrock,2,,40
133134,Bedrock,4,,81
136322,Bedrock,5,,125
127880,Bedrock,7,,140
127959,Bedrock,3,,153
133209,Bedrock,7,,133
127883,Bedrock,1,,103
127868,Bedrock,5,,78
127863,Bedrock,6,,81
130482,Bedrock,20,,50
132972,Bedrock,5,,131
130121,Bedrock,2,,80
243886,Bedrock,4,,150
316996,Bedrock,6,,34
130128,Bedrock,6,,119
128127,Bedrock,5,,105
136155,Bedrock,5,,146
136230,Bedrock,3,,123
236441,Bedrock,2,,153
127918,Bedrock,4,,85
128151,Bedrock,6,,124
133037,Bedrock,4,,93
259260,Bedrock,5,,80
125740,Bedrock,6,,12
127620,Bedrock,6,,61
127434,Bedrock,3,,58
129575,Bedrock,2,,108
127610,Bedrock,3,,62
133072,Bedrock,7,,76
133096,Bedrock,3,,98
133111,Bedrock,4,,100
133012,Bedrock,4,,116
133077,Bedrock,4,,143
128360,Bedrock,3,,8
127287,Bedrock,5,,141
120373,Bedrock,3,,37
127242,Bedrock,4,,151
127331,Bedrock,6,,152
121026,Bedrock,5,,50
285263,Bedrock,6,,53
127269,Bedrock,3,,115
125980,Bedrock,6,,114
308236,Bedrock,4,,45
52748,Bedrock,7,,138
127323,Bedrock,7,,83
127414,Bedrock,4,,102
126231,Bedrock,5,,67
128358,Bedrock,2,,70
64786,Bedrock,7,,43
120444,Bedrock,3,,69
120458,Bedrock,5,,58
120453,Bedrock,7,,47
121441,Bedrock,5,,80
122743,Bedrock,6,,124
122460,Bedrock,7,,128
127471,Bedrock,7,,105
120414,Bedrock,2,,80
120409,Bedrock,4,,80
122791,Bedrock,4,,150
127461,Bedrock,6,,77
127466,Bedrock,4,,77
127456,Bedrock,7,,78
126868,Bedrock,3,,98
126859,Bedrock,2,,83
126805,Bedrock,7,,98
126815,Bedrock,2,,92
126839,Bedrock,3,,82
127090,Bedrock,5,,103
120433,Bedrock,2,,60
127361,Bedrock,2,,80
241562,Bedrock,2,,46
33796,Bedrock,7,,17
33798,Bedrock,7,,17
96089,Bedrock,2,,79
332127,Bedrock,3,,71
127044,Bedrock,5,,90
96163,Bedrock,3,,87
127064,Bedrock,2,,98
128253,Bedrock,2,,124
124406,Bedrock,6,,101
124211,Bedrock,2,,55
120342,Bedrock,3,,88
95924,Bedrock,5,,59
